,happiness
8001,3.7174487964685845
8002,3.0648267842521064
8003,3.356534609237273
8004,4.251176387248957
8005,3.38808626669126
8006,4.139497424919846
8007,4.002913696036854
8008,4.488695721714262
8009,4.060733683054507
8010,2.8795190183889154
8011,3.0471139975407153
8012,3.6865527407829597
8013,4.062004231484911
8014,3.836473389504067
8015,3.590899213748828
8016,4.591970270457447
8017,3.737458675717952
8018,4.403995545910886
8019,3.861598980290686
8020,3.98680285143334
8021,4.04986346781888
8022,3.571096142611097
8023,3.861281096856436
8024,3.649329337939909
8025,3.3293600373037506
8026,4.015669973273919
8027,4.099439563429167
8028,4.098661954272626
8029,4.3285765447040045
8030,4.291328005494002
8031,3.8004716177345608
8032,4.0623597135327065
8033,4.0151707211103265
8034,3.4538553447165077
8035,3.576463250453635
8036,4.578476008747512
8037,4.028556213642052
8038,4.017030795379618
8039,3.488287397785736
8040,4.156532542753209
8041,4.242316454671119
8042,3.634108464311198
8043,3.793499713407125
8044,3.7995579537393867
8045,4.277523643569048
8046,3.9741562108599244
8047,4.33665976564931
8048,3.896890301377174
8049,4.0099966607680155
8050,4.417423951656417
8051,3.7397010794461023
8052,4.347352540193693
8053,3.1575796173346653
8054,3.9535734022661986
8055,4.246691917799641
8056,2.779056331660933
8057,3.8765355432327278
8058,3.6884721868353583
8059,3.165019357205562
8060,4.126532817150141
8061,3.0287133133509188
8062,3.6172868227678934
8063,3.954730116879242
8064,4.135289274176428
8065,4.106280491356483
8066,4.150825593607348
8067,4.107054217781318
8068,4.040413728663761
8069,3.5190683320374685
8070,3.981479389022138
8071,3.916501634145825
8072,4.398177733038778
8073,3.8341898631174987
8074,3.855002965683644
8075,3.1644086400065268
8076,3.605624282465169
8077,3.5522478543560565
8078,3.8287948917417163
8079,4.523313246369767
8080,3.8953066838873127
8081,3.902647759758387
8082,3.816282462809795
8083,4.383710729998176
8084,4.427246587939816
8085,4.436098810489963
8086,3.9047694693777495
8087,4.081823273440066
8088,4.183998432246012
8089,3.541357935141007
8090,3.7642011324362947
8091,4.237174719866548
8092,4.015553242776527
8093,4.227483448411711
8094,4.252465142038997
8095,4.6527858767514285
8096,3.343158247135121
8097,4.341831223639362
8098,3.87781288703263
8099,3.5354764132588707
8100,4.037341592616891
8101,4.2054701625349615
8102,3.958263069785543
8103,3.3821437112665462
8104,4.608551924796857
8105,4.016352732407242
8106,4.442252419212513
8107,4.144191800213913
8108,4.060046926005519
8109,3.7675559387232704
8110,3.7317306401606634
8111,4.316181233244075
8112,3.625266147610019
8113,4.0585913960694215
8114,4.642553087338814
8115,4.030287560967004
8116,4.023069981013513
8117,3.718912944332196
8118,3.602997640091786
8119,3.9325072700875254
8120,4.55884793566204
8121,2.785412155904221
8122,4.185235652041207
8123,3.5246452668687724
8124,3.7967867624612968
8125,4.111989502165603
8126,4.645782582443614
8127,2.190526462666348
8128,3.930135538629856
8129,3.87161640948006
8130,3.8419330162962178
8131,3.8951949025781945
8132,4.2176559942378
8133,4.363528761147395
8134,4.335018108613811
8135,4.1177306383045424
8136,4.538381098536378
8137,4.087914926409047
8138,3.6650823433843356
8139,4.026150878691306
8140,2.946018495085557
8141,3.9210308193233057
8142,3.747996848239974
8143,4.512272276796314
8144,3.554328109249102
8145,3.9584620816867777
8146,2.392634429942147
8147,3.9481463568112325
8148,2.5708190400396016
8149,3.567398508847224
8150,3.762056934478489
8151,2.7077008704958496
8152,4.039987673518074
8153,3.524560375537937
8154,3.7929947954358205
8155,3.9856654251845622
8156,3.7377343152830242
8157,3.7114347333919815
8158,3.1902896551777777
8159,4.079234873481118
8160,4.096487897757058
8161,3.497597903356316
8162,3.8710183238017333
8163,3.9522224217738704
